,ranker,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
143,,Papy Djilobodji,sn SEN,DF,Sunderland,27,1988,18,17,"1,578",0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,/en/players/083525e5/matchlogs/2016-2017/Papy-Djilobodji-Match-Logs
144,,Abdoulaye Doucouré,fr FRA,MF,Watford,23,1993,20,14,"1,361",1,0,0,0,4,0,0.07,0.00,0.07,0.07,0.07,/en/players/02b29014/matchlogs/2016-2017/Abdoulaye-Doucoure-Match-Logs
145,,Stewart Downing,eng ENG,"MF,FW",Middlesbrough,32,1984,30,24,"2,214",1,3,0,0,1,0,0.04,0.12,0.16,0.04,0.16,/en/players/b13c4620/matchlogs/2016-2017/Stewart-Downing-Match-Logs
146,,Danny Drinkwater,eng ENG,MF,Leicester City,26,1990,29,27,"2,466",1,2,0,0,6,0,0.04,0.07,0.11,0.04,0.11,/en/players/2649ff32/matchlogs/2016-2017/Danny-Drinkwater-Match-Logs
147,,Nathan Dyer,eng ENG,"MF,FW",Swansea City,28,1987,8,3,214,0,1,0,0,0,0,0.00,0.42,0.42,0.00,0.42,/en/players/6dfd5af0/matchlogs/2016-2017/Nathan-Dyer-Match-Logs
148,,Ovie Ejaria,eng ENG,MF,Liverpool,18,1997,2,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/a801669e/matchlogs/2016-2017/Ovie-Ejaria-Match-Logs
149,,Omar Elabdellaoui,no NOR,"DF,MF",Hull City,24,1991,8,7,615,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/4f56170e/matchlogs/2016-2017/Omar-Elabdellaoui-Match-Logs
150,,Andrew Eleftheriou,eng ENG,DF,Watford,18,1997,1,0,52,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/0878b548/matchlogs/2016-2017/Andrew-Eleftheriou-Match-Logs
151,,Ahmed Elmohamady,eg EGY,"DF,MF",Hull City,28,1987,33,28,"2,524",0,2,0,0,3,1,0.00,0.07,0.07,0.00,0.07,/en/players/615ef733/matchlogs/2016-2017/Ahmed-Elmohamady-Match-Logs
152,,Mohamed Elneny,eg EGY,MF,Arsenal,24,1992,14,8,694,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,/en/players/47a34c4f/matchlogs/2016-2017/Mohamed-Elneny-Match-Logs
153,,Christian Eriksen,dk DEN,MF,Tottenham,24,1992,36,36,"3,157",8,15,0,0,0,0,0.23,0.43,0.66,0.23,0.66,/en/players/980522ec/matchlogs/2016-2017/Christian-Eriksen-Match-Logs
154,,Bernardo Espinosa,co COL,DF,Middlesbrough,27,1989,11,10,975,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/4242011c/matchlogs/2016-2017/Bernardo-Espinosa-Match-Logs
155,,Jonny Evans,nir NIR,DF,West Brom,28,1988,31,30,"2,637",2,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,/en/players/f8fcd2a5/matchlogs/2016-2017/Jonny-Evans-Match-Logs
156,,Łukasz Fabiański,pl POL,GK,Swansea City,31,1985,37,37,"3,330",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,/en/players/9328b835/matchlogs/2016-2017/Lukasz-Fabianski-Match-Logs
157,,Fábio,br BRA,DF,Middlesbrough,26,1990,24,21,"1,847",0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,/en/players/bc7b4580/matchlogs/2016-2017/Fabio-Match-Logs
158,,Cesc Fàbregas,es ESP,MF,Chelsea,29,1987,29,13,"1,339",5,12,0,0,8,0,0.34,0.81,1.14,0.34,1.14,/en/players/33508c78/matchlogs/2016-2017/Cesc-Fabregas-Match-Logs
159,,Adam Federici,au AUS,GK,Bournemouth,31,1985,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,/en/players/e5ea8be7/matchlogs/2016-2017/Adam-Federici-Match-Logs
160,,Sofiane Feghouli,dz ALG,"MF,FW",West Ham,26,1989,21,11,"1,041",3,2,0,0,1,1,0.26,0.17,0.43,0.26,0.43,/en/players/691f64f5/matchlogs/2016-2017/Sofiane-Feghouli-Match-Logs
161,,Marouane Fellaini,be BEL,MF,Manchester Utd,28,1987,28,18,"1,605",1,0,0,0,9,1,0.06,0.00,0.06,0.06,0.06,/en/players/87575fd9/matchlogs/2016-2017/Marouane-Fellaini-Match-Logs
162,,Leroy Fer,nl NED,MF,Swansea City,26,1990,34,27,"2,404",6,2,0,0,9,0,0.22,0.07,0.30,0.22,0.30,/en/players/3cefa66a/matchlogs/2016-2017/Leroy-Fer-Match-Logs
163,,Edimilson Fernandes,ch SUI,MF,West Ham,20,1996,28,8,"1,001",0,1,0,0,4,0,0.00,0.09,0.09,0.00,0.09,/en/players/3bb625ac/matchlogs/2016-2017/Edimilson-Fernandes-Match-Logs
164,,Federico Fernández,ar ARG,DF,Swansea City,27,1989,27,27,"2,430",0,2,0,0,7,0,0.00,0.07,0.07,0.00,0.07,/en/players/f25b010f/matchlogs/2016-2017/Federico-Fernandez-Match-Logs
165,,Fernandinho,br BRA,"MF,DF",Manchester City,31,1985,32,31,"2,756",2,1,0,0,4,2,0.07,0.03,0.10,0.07,0.10,/en/players/101da2b5/matchlogs/2016-2017/Fernandinho-Match-Logs
166,,Fernando,br BRA,"MF,DF",Manchester City,29,1987,15,5,568,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,/en/players/41f32541/matchlogs/2016-2017/Fernando-Match-Logs
167,,Sam Field,eng ENG,MF,West Brom,18,1998,8,4,275,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/bd8a7d05/matchlogs/2016-2017/Sam-Field-Match-Logs
168,,Roberto Firmino,br BRA,FW,Liverpool,24,1991,35,34,"3,062",11,7,0,0,5,0,0.32,0.21,0.53,0.32,0.53,/en/players/4c370d81/matchlogs/2016-2017/Roberto-Firmino-Match-Logs
169,,Viktor Fischer,dk DEN,"FW,MF",Middlesbrough,22,1994,13,6,438,0,3,0,0,0,0,0.00,0.62,0.62,0.00,0.62,/en/players/b5920350/matchlogs/2016-2017/Viktor-Fischer-Match-Logs
170,,Mathieu Flamini,fr FRA,MF,Crystal Palace,32,1984,10,3,274,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/148d4105/matchlogs/2016-2017/Mathieu-Flamini-Match-Logs
171,,Jon Flanagan,eng ENG,DF,Burnley,23,1993,6,3,360,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/f2428fd4/matchlogs/2016-2017/Jon-Flanagan-Match-Logs
172,,Ashley Fletcher,eng ENG,FW,West Ham,20,1995,16,2,367,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/eeb6551f/matchlogs/2016-2017/Ashley-Fletcher-Match-Logs
173,,Darren Fletcher,sco SCO,MF,West Brom,32,1984,38,37,"3,231",2,3,0,0,0,0,0.06,0.08,0.14,0.06,0.14,/en/players/184e4970/matchlogs/2016-2017/Darren-Fletcher-Match-Logs
