,ranker,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
94,,Sam Clucas,eng ENG,MF,Swansea City,26,1990,29,23,"2,044",3,1,0,0,2,0,0.13,0.04,0.18,0.13,0.18,2.0,2.0,1.1,0.09,0.05,0.14,0.09,0.14,/en/players/987718f5/matchlogs/2017-2018/Sam-Clucas-Match-Logs
95,,Nathaniel Clyne,eng ENG,"DF,MF",Liverpool,26,1991,3,2,174,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.10,0.10,0.00,0.10,/en/players/0442183b/matchlogs/2017-2018/Nathaniel-Clyne-Match-Logs
96,,Séamus Coleman,ie IRL,DF,Everton,28,1988,12,12,"1,035",0,1,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.4,0.07,0.03,0.11,0.07,0.11,/en/players/0420d84f/matchlogs/2017-2018/Seamus-Coleman-Match-Logs
97,,James Collins,wal WAL,DF,West Ham,33,1983,13,12,"1,050",1,0,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,0.5,0.03,0.05,0.08,0.03,0.08,/en/players/c61f1719/matchlogs/2017-2018/James-Collins-Match-Logs
98,,Lewis Cook,eng ENG,MF,Bournemouth,20,1997,29,25,"2,237",0,2,0,0,5,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,1.5,0.02,0.06,0.08,0.02,0.08,/en/players/2afc7272/matchlogs/2017-2018/Lewis-Cook-Match-Logs
99,,Steve Cook,eng ENG,DF,Bournemouth,26,1991,34,31,"2,767",2,1,0,0,5,0,0.07,0.03,0.10,0.07,0.10,2.3,2.3,0.4,0.08,0.01,0.09,0.08,0.09,/en/players/3e5e4e63/matchlogs/2017-2018/Steve-Cook-Match-Logs
100,,Francis Coquelin,fr FRA,"MF,DF",Arsenal,26,1991,7,1,169,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.13,0.16,0.03,0.16,/en/players/a6951bf8/matchlogs/2017-2018/Francis-Coquelin-Match-Logs
101,,Jack Cork,eng ENG,MF,Burnley,28,1989,38,38,"3,420",2,1,0,0,7,0,0.05,0.03,0.08,0.05,0.08,2.0,2.0,0.9,0.05,0.02,0.08,0.05,0.08,/en/players/74e12f1e/matchlogs/2017-2018/Jack-Cork-Match-Logs
102,,Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,35,"3,150",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/1840e36d/matchlogs/2017-2018/Thibaut-Courtois-Match-Logs
103,,Philippe Coutinho,br BRA,"MF,FW",Liverpool,25,1992,14,13,"1,109",7,6,0,0,0,0,0.57,0.49,1.06,0.57,1.06,2.6,2.6,4.6,0.21,0.37,0.58,0.21,0.58,/en/players/0ef89a37/matchlogs/2017-2018/Philippe-Coutinho-Match-Logs
104,,Martin Cranie,eng ENG,"DF,MF",Huddersfield,30,1986,3,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/9e53837d/matchlogs/2017-2018/Martin-Cranie-Match-Logs
105,,Aaron Cresswell,eng ENG,DF,West Ham,27,1989,36,35,"3,069",1,3,0,0,7,0,0.03,0.09,0.12,0.03,0.12,0.7,0.7,2.9,0.02,0.08,0.10,0.02,0.10,/en/players/4f974391/matchlogs/2017-2018/Aaron-Cresswell-Match-Logs
106,,Peter Crouch,eng ENG,FW,Stoke City,36,1981,31,14,"1,567",5,2,0,0,4,0,0.29,0.11,0.40,0.29,0.40,4.1,4.1,2.8,0.24,0.16,0.40,0.24,0.40,/en/players/73d9bdc7/matchlogs/2017-2018/Peter-Crouch-Match-Logs
107,,Josh Cullen,ie IRL,"FW,MF",West Ham,21,1996,2,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/f6d7d690/matchlogs/2017-2018/Josh-Cullen-Match-Logs
108,,Charlie Daniels,eng ENG,"DF,MF",Bournemouth,30,1986,35,34,"3,002",1,3,0,0,0,0,0.03,0.09,0.12,0.03,0.12,0.5,0.5,2.2,0.02,0.07,0.08,0.02,0.08,/en/players/9d107085/matchlogs/2017-2018/Charlie-Daniels-Match-Logs
109,,Danilo,br BRA,DF,Manchester City,26,1991,23,13,"1,349",3,2,0,0,2,0,0.20,0.13,0.33,0.20,0.33,0.8,0.8,0.3,0.06,0.02,0.08,0.06,0.08,/en/players/94b2001f/matchlogs/2017-2018/Danilo-Match-Logs
110,,Scott Dann,eng ENG,DF,Crystal Palace,30,1987,17,16,"1,435",1,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,2.0,2.0,0.2,0.12,0.01,0.14,0.12,0.14,/en/players/52105203/matchlogs/2017-2018/Scott-Dann-Match-Logs
111,,Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/cde3309f/matchlogs/2017-2018/Karl-Darlow-Match-Logs
112,,Matteo Darmian,it ITA,DF,Manchester Utd,27,1989,8,5,444,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,/en/players/96e0490d/matchlogs/2017-2018/Matteo-Darmian-Match-Logs
113,,Ben Davies,wal WAL,DF,Tottenham,24,1993,29,26,"2,324",2,6,0,0,3,0,0.08,0.23,0.31,0.08,0.31,1.2,1.2,3.1,0.05,0.12,0.17,0.05,0.17,/en/players/44781702/matchlogs/2017-2018/Ben-Davies-Match-Logs
114,,Tom Davies,eng ENG,MF,Everton,19,1998,33,20,"1,900",2,1,0,0,7,0,0.09,0.05,0.14,0.09,0.14,1.4,1.4,0.7,0.07,0.03,0.10,0.07,0.10,/en/players/9228b07c/matchlogs/2017-2018/Tom-Davies-Match-Logs
115,,Steven Davis,nir NIR,MF,Southampton,32,1985,23,17,"1,521",3,0,0,0,0,0,0.18,0.00,0.18,0.18,0.18,0.8,0.8,1.1,0.05,0.07,0.11,0.05,0.11,/en/players/cf15bbb1/matchlogs/2017-2018/Steven-Davis-Match-Logs
116,,Craig Dawson,eng ENG,DF,West Brom,27,1990,28,28,"2,510",2,0,0,0,6,0,0.07,0.00,0.07,0.07,0.07,2.0,2.0,1.2,0.07,0.04,0.12,0.07,0.12,/en/players/3e9e06cb/matchlogs/2017-2018/Craig-Dawson-Match-Logs
117,,Kevin De Bruyne,be BEL,MF,Manchester City,26,1991,37,36,"3,073",8,16,0,0,2,0,0.23,0.47,0.70,0.23,0.70,5.4,5.4,12.5,0.16,0.36,0.52,0.16,0.52,/en/players/e46012d4/matchlogs/2017-2018/Kevin-De-Bruyne-Match-Logs
118,,Troy Deeney,eng ENG,FW,Watford,29,1988,29,20,"1,844",5,2,3,5,1,1,0.24,0.10,0.34,0.10,0.20,7.9,3.9,1.8,0.38,0.09,0.47,0.19,0.28,/en/players/82e34b69/matchlogs/2017-2018/Troy-Deeney-Match-Logs
119,,Jermain Defoe,eng ENG,FW,Bournemouth,34,1982,24,11,"1,088",4,1,0,0,1,0,0.33,0.08,0.41,0.33,0.41,4.9,4.9,1.1,0.41,0.09,0.49,0.41,0.49,/en/players/f1e8372d/matchlogs/2017-2018/Jermain-Defoe-Match-Logs
120,,Steven Defour,be BEL,MF,Burnley,29,1988,24,24,"1,997",1,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,0.8,0.8,1.3,0.04,0.06,0.09,0.04,0.09,/en/players/73489527/matchlogs/2017-2018/Steven-Defour-Match-Logs
121,,Damien Delaney,ie IRL,DF,Crystal Palace,36,1981,2,1,96,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/210d9ecb/matchlogs/2017-2018/Damien-Delaney-Match-Logs
122,,Fabian Delph,eng ENG,DF,Manchester City,27,1989,22,21,"1,741",1,2,0,0,2,0,0.05,0.10,0.16,0.05,0.16,0.2,0.2,1.1,0.01,0.06,0.07,0.01,0.07,/en/players/111c3236/matchlogs/2017-2018/Fabian-Delph-Match-Logs
123,,Mousa Dembélé,be BEL,MF,Tottenham,30,1987,28,21,"1,879",0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,0.02,0.03,0.05,0.02,0.05,/en/players/f7ee69fb/matchlogs/2017-2018/Mousa-Dembele-Match-Logs
124,,Laurent Depoitre,be BEL,FW,Huddersfield,28,1988,33,18,"1,820",6,1,0,0,1,0,0.30,0.05,0.35,0.30,0.35,3.7,3.7,0.3,0.18,0.02,0.20,0.18,0.20,/en/players/aa5859cb/matchlogs/2017-2018/Laurent-Depoitre-Match-Logs
125,,Mike van der Hoorn,nl NED,DF,Swansea City,24,1992,24,24,"1,944",1,0,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.3,0.04,0.01,0.06,0.04,0.06,/en/players/25f50295/matchlogs/2017-2018/Mike-van-der-Hoorn-Match-Logs
126,,Gerard Deulofeu,es ESP,"FW,MF",Watford,23,1994,7,5,435,1,0,0,0,0,0,0.21,0.00,0.21,0.21,0.21,0.6,0.6,0.6,0.13,0.12,0.25,0.13,0.25,/en/players/39583cfd/matchlogs/2017-2018/Gerard-Deulofeu-Match-Logs
127,,Fousseni Diabaté,ml MLI,"MF,FW",Leicester City,21,1995,14,5,587,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.4,0.4,0.3,0.06,0.05,0.11,0.06,0.11,/en/players/d07e3b41/matchlogs/2017-2018/Fousseni-Diabate-Match-Logs
128,,Mohamed Diamé,sn SEN,MF,Newcastle Utd,30,1987,31,23,"2,041",2,0,0,0,3,0,0.09,0.00,0.09,0.09,0.09,1.5,1.5,0.5,0.07,0.02,0.09,0.07,0.09,/en/players/b7d082af/matchlogs/2017-2018/Mohamed-Diame-Match-Logs
129,,Brahim Díaz,es ESP,"FW,MF",Manchester City,17,1999,5,0,55,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.93,0.00,0.93,0.93,0.93,/en/players/407feb71/matchlogs/2017-2018/Brahim-Diaz-Match-Logs
130,,Eric Dier,eng ENG,"MF,DF",Tottenham,23,1994,34,32,"2,824",0,2,0,0,4,0,0.00,0.06,0.06,0.00,0.06,2.2,2.2,2.1,0.07,0.07,0.14,0.07,0.14,/en/players/ac861941/matchlogs/2017-2018/Eric-Dier-Match-Logs
131,,Virgil van Dijk,nl NED,DF,Liverpool,26,1991,14,14,"1,260",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.2,0.11,0.02,0.12,0.11,0.12,/en/players/e06683ca/matchlogs/2017-2018/Virgil-van-Dijk-Match-Logs
132,,Virgil van Dijk,nl NED,DF,Southampton,26,1991,12,11,994,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.0,0.12,0.00,0.12,0.12,0.12,/en/players/e06683ca/matchlogs/2017-2018/Virgil-van-Dijk-Match-Logs
133,,Abdoulaye Doucouré,fr FRA,MF,Watford,24,1993,37,37,"3,324",7,3,0,0,10,0,0.19,0.08,0.27,0.19,0.27,3.1,3.1,2.3,0.08,0.06,0.14,0.08,0.14,/en/players/02b29014/matchlogs/2017-2018/Abdoulaye-Doucoure-Match-Logs
134,,Aleksandar Dragović,at AUT,DF,Leicester City,26,1991,11,7,769,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,/en/players/6fd8a334/matchlogs/2017-2018/Aleksandar-Dragovic-Match-Logs
135,,Danny Drinkwater,eng ENG,MF,Chelsea,27,1990,12,5,527,1,0,0,0,0,0,0.17,0.00,0.17,0.17,0.17,0.1,0.1,0.1,0.02,0.01,0.04,0.02,0.04,/en/players/2649ff32/matchlogs/2017-2018/Danny-Drinkwater-Match-Logs
136,,Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,"1,080",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/3a949a25/matchlogs/2017-2018/Martin-Dubravka-Match-Logs
137,,Shane Duffy,ie IRL,DF,Brighton,25,1992,37,37,"3,292",0,1,0,0,8,0,0.00,0.03,0.03,0.00,0.03,2.3,2.3,0.7,0.06,0.02,0.08,0.06,0.08,/en/players/7314bba4/matchlogs/2017-2018/Shane-Duffy-Match-Logs
138,,Paul Dummett,wal WAL,DF,Newcastle Utd,25,1991,20,19,"1,602",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.01,0.02,0.04,0.01,0.04,/en/players/3fe6bd8c/matchlogs/2017-2018/Paul-Dummett-Match-Logs
139,,Lewis Dunk,eng ENG,DF,Brighton,25,1991,38,38,"3,420",1,1,0,0,7,0,0.03,0.03,0.05,0.03,0.05,2.7,2.7,0.3,0.07,0.01,0.08,0.07,0.08,/en/players/282f75f3/matchlogs/2017-2018/Lewis-Dunk-Match-Logs
140,,Nathan Dyer,eng ENG,"MF,FW",Swansea City,29,1987,24,16,"1,307",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.8,0.06,0.06,0.12,0.06,0.12,/en/players/6dfd5af0/matchlogs/2017-2018/Nathan-Dyer-Match-Logs
141,,Ederson,br BRA,GK,Manchester City,23,1993,36,36,"3,194",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,/en/players/3bb7b8b4/matchlogs/2017-2018/Ederson-Match-Logs
142,,Tom Edwards,eng ENG,DF,Stoke City,18,1999,6,6,481,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.05,0.05,0.00,0.05,/en/players/1b780599/matchlogs/2017-2018/Tom-Edwards-Match-Logs
143,,Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,"1,440",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/b1b25949/matchlogs/2017-2018/Rob-Elliot-Match-Logs
144,,Mohamed Elneny,eg EGY,MF,Arsenal,25,1992,13,11,867,0,1,0,0,3,1,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.7,0.03,0.08,0.11,0.03,0.11,/en/players/47a34c4f/matchlogs/2017-2018/Mohamed-Elneny-Match-Logs
145,,Christian Eriksen,dk DEN,"MF,FW",Tottenham,25,1992,37,37,"3,218",10,10,0,0,0,0,0.28,0.28,0.56,0.28,0.56,6.8,6.8,12.2,0.19,0.34,0.53,0.19,0.53,/en/players/980522ec/matchlogs/2017-2018/Christian-Eriksen-Match-Logs
146,,Jonny Evans,nir NIR,DF,West Brom,29,1988,28,26,"2,270",2,2,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.7,1.7,0.3,0.07,0.01,0.08,0.07,0.08,/en/players/f8fcd2a5/matchlogs/2017-2018/Jonny-Evans-Match-Logs
147,,Patrice Evra,fr FRA,"DF,MF",West Ham,36,1981,5,3,228,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/51a3caf1/matchlogs/2017-2018/Patrice-Evra-Match-Logs
148,,Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38,38,"3,420",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/9328b835/matchlogs/2017-2018/Lukasz-Fabianski-Match-Logs
149,,Cesc Fàbregas,es ESP,MF,Chelsea,30,1987,32,25,"2,307",2,4,0,0,5,2,0.08,0.16,0.23,0.08,0.23,2.3,2.3,6.8,0.09,0.27,0.36,0.09,0.36,/en/players/33508c78/matchlogs/2017-2018/Cesc-Fabregas-Match-Logs
150,,Marouane Fellaini,be BEL,MF,Manchester Utd,29,1987,16,5,683,4,0,0,0,1,0,0.53,0.00,0.53,0.53,0.53,2.9,2.9,0.1,0.42,0.02,0.44,0.42,0.44,/en/players/87575fd9/matchlogs/2017-2018/Marouane-Fellaini-Match-Logs
151,,Kiko Femenía,es ESP,"DF,MF",Watford,26,1991,23,19,"1,713",1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,1.8,0.02,0.10,0.12,0.02,0.12,/en/players/e5d01ecf/matchlogs/2017-2018/Kiko-Femenia-Match-Logs
152,,Leroy Fer,nl NED,MF,Swansea City,27,1990,20,15,"1,397",1,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,1.3,1.3,1.3,0.09,0.08,0.17,0.09,0.17,/en/players/3cefa66a/matchlogs/2017-2018/Leroy-Fer-Match-Logs
153,,Edimilson Fernandes,ch SUI,"MF,FW",West Ham,21,1996,14,9,845,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,0.5,0.03,0.05,0.09,0.03,0.09,/en/players/3bb625ac/matchlogs/2017-2018/Edimilson-Fernandes-Match-Logs
154,,Federico Fernández,ar ARG,DF,Swansea City,28,1989,30,30,"2,676",1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,0.8,0.8,0.8,0.03,0.03,0.05,0.03,0.05,/en/players/f25b010f/matchlogs/2017-2018/Federico-Fernandez-Match-Logs
155,,Fernandinho,br BRA,MF,Manchester City,32,1985,34,33,"2,881",5,3,0,0,7,0,0.16,0.09,0.25,0.16,0.25,2.6,2.6,2.3,0.08,0.07,0.16,0.08,0.16,/en/players/101da2b5/matchlogs/2017-2018/Fernandinho-Match-Logs
156,,Sam Field,eng ENG,MF,West Brom,19,1998,10,7,537,1,0,0,0,3,0,0.17,0.00,0.17,0.17,0.17,0.3,0.3,0.2,0.06,0.03,0.08,0.06,0.08,/en/players/bd8a7d05/matchlogs/2017-2018/Sam-Field-Match-Logs
157,,Roberto Firmino,br BRA,FW,Liverpool,25,1991,37,32,"2,763",15,7,1,1,1,0,0.49,0.23,0.72,0.46,0.68,11.6,10.9,5.8,0.38,0.19,0.56,0.35,0.54,/en/players/4c370d81/matchlogs/2017-2018/Roberto-Firmino-Match-Logs
158,,Darren Fletcher,sco SCO,MF,Stoke City,33,1984,27,25,"2,219",1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,0.3,0.3,1.1,0.01,0.04,0.06,0.01,0.06,/en/players/184e4970/matchlogs/2017-2018/Darren-Fletcher-Match-Logs
159,,Phil Foden,eng ENG,MF,Manchester City,17,2000,5,0,49,0,1,0,0,0,0,0.00,1.84,1.84,0.00,1.84,0.0,0.0,0.4,0.00,0.74,0.74,0.00,0.74,/en/players/ed1e53f3/matchlogs/2017-2018/Phil-Foden-Match-Logs
160,,José Fonte,pt POR,DF,West Ham,33,1983,8,8,688,0,1,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,0.1,0.09,0.01,0.10,0.09,0.10,/en/players/90f87966/matchlogs/2017-2018/Jose-Fonte-Match-Logs
161,,Fraser Forster,eng ENG,GK,Southampton,29,1988,20,20,"1,800",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/c3e39f12/matchlogs/2017-2018/Fraser-Forster-Match-Logs
162,,Ben Foster,eng ENG,GK,West Brom,34,1983,37,37,"3,330",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/d0b3ceb9/matchlogs/2017-2018/Ben-Foster-Match-Logs
163,,Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,19,1998,21,17,"1,596",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,0.03,0.03,0.06,0.03,0.06,/en/players/a9142dc3/matchlogs/2017-2018/Timothy-Fosu-Mensah-Match-Logs
164,,Simon Francis,eng ENG,DF,Bournemouth,32,1985,32,31,"2,705",0,1,0,0,9,2,0.00,0.03,0.03,0.00,0.03,0.5,0.5,1.9,0.02,0.06,0.08,0.02,0.08,/en/players/1e0b6a73/matchlogs/2017-2018/Simon-Francis-Match-Logs
165,,Ryan Fraser,sco SCO,"MF,DF",Bournemouth,23,1994,26,23,"2,004",5,3,0,0,0,0,0.22,0.13,0.36,0.22,0.36,2.2,2.2,3.8,0.10,0.17,0.27,0.10,0.27,/en/players/d56543a0/matchlogs/2017-2018/Ryan-Fraser-Match-Logs
166,,Christian Fuchs,at AUT,DF,Leicester City,31,1986,25,21,"1,921",0,1,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.5,0.02,0.02,0.04,0.02,0.04,/en/players/a67a09fb/matchlogs/2017-2018/Christian-Fuchs-Match-Logs
167,,Jay Fulton,sco SCO,MF,Swansea City,23,1994,2,0,19,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/434ad289/matchlogs/2017-2018/Jay-Fulton-Match-Logs
168,,Ramiro Funes Mori,ar ARG,"DF,MF",Everton,26,1991,4,1,121,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.07,0.00,0.07,0.07,0.07,/en/players/89cbc961/matchlogs/2017-2018/Ramiro-Funes-Mori-Match-Logs
169,,Manolo Gabbiadini,it ITA,FW,Southampton,25,1991,28,11,"1,081",5,0,1,1,2,0,0.42,0.00,0.42,0.33,0.33,2.3,1.6,1.0,0.20,0.08,0.28,0.13,0.21,/en/players/8f866fe8/matchlogs/2017-2018/Manolo-Gabbiadini-Match-Logs
170,,Jesús Gámez,es ESP,DF,Newcastle Utd,32,1985,2,1,98,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.03,0.11,0.14,0.03,0.14,/en/players/bd1d1cbb/matchlogs/2017-2018/Jesus-Gamez-Match-Logs
171,,Idrissa Gana Gueye,sn SEN,MF,Everton,27,1989,33,32,"2,751",2,1,0,0,7,2,0.07,0.03,0.10,0.07,0.10,1.5,1.5,1.1,0.05,0.03,0.08,0.05,0.08,/en/players/72c812f3/matchlogs/2017-2018/Idrissa-Gana-Gueye-Match-Logs
172,,Dwight Gayle,eng ENG,FW,Newcastle Utd,26,1990,35,23,"1,958",6,3,0,0,3,0,0.28,0.14,0.41,0.28,0.41,8.8,8.8,2.4,0.40,0.11,0.52,0.40,0.52,/en/players/e58a03c6/matchlogs/2017-2018/Dwight-Gayle-Match-Logs
173,,Paulo Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/63d17038/matchlogs/2017-2018/Paulo-Gazzaniga-Match-Logs
174,,David de Gea,es ESP,GK,Manchester Utd,26,1990,37,37,"3,330",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/7ba6d84e/matchlogs/2017-2018/David-de-Gea-Match-Logs
175,,Kieran Gibbs,eng ENG,DF,West Brom,27,1989,33,32,"2,827",0,1,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.2,0.2,1.6,0.01,0.05,0.06,0.01,0.06,/en/players/46ee5234/matchlogs/2017-2018/Kieran-Gibbs-Match-Logs
176,,Olivier Giroud,fr FRA,FW,Chelsea,30,1986,13,6,613,3,1,0,0,0,0,0.44,0.15,0.59,0.44,0.59,4.1,4.1,1.3,0.61,0.19,0.79,0.61,0.79,/en/players/16ceb862/matchlogs/2017-2018/Olivier-Giroud-Match-Logs
177,,Olivier Giroud,fr FRA,FW,Arsenal,30,1986,16,1,388,4,1,0,0,0,0,0.93,0.23,1.16,0.93,1.16,2.9,2.9,0.9,0.69,0.22,0.91,0.69,0.91,/en/players/16ceb862/matchlogs/2017-2018/Olivier-Giroud-Match-Logs
178,,Connor Goldson,eng ENG,DF,Brighton,24,1992,3,2,200,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.07,0.00,0.07,0.07,0.07,/en/players/56f6f826/matchlogs/2017-2018/Connor-Goldson-Match-Logs
179,,Heurelho Gomes,br BRA,GK,Watford,36,1981,24,24,"2,128",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/d596e193/matchlogs/2017-2018/Heurelho-Gomes-Match-Logs
180,,Joe Gomez,eng ENG,DF,Liverpool,20,1997,23,21,"1,902",0,2,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,1.3,0.01,0.06,0.07,0.01,0.07,/en/players/7a11550b/matchlogs/2017-2018/Joe-Gomez-Match-Logs
181,,Dan Gosling,eng ENG,MF,Bournemouth,27,1990,28,21,"1,947",2,1,0,0,8,0,0.09,0.05,0.14,0.09,0.14,2.3,2.3,0.8,0.11,0.04,0.15,0.11,0.15,/en/players/7fec31a0/matchlogs/2017-2018/Dan-Gosling-Match-Logs
182,,Lee Grant,eng ENG,GK,Stoke City,34,1983,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/9dab6e3b/matchlogs/2017-2018/Lee-Grant-Match-Logs
183,,Andre Gray,eng ENG,FW,Watford,26,1991,31,16,"1,498",5,2,0,0,1,0,0.30,0.12,0.42,0.30,0.42,5.8,5.8,1.6,0.35,0.10,0.45,0.35,0.45,/en/players/c24dba2a/matchlogs/2017-2018/Andre-Gray-Match-Logs
184,,Demarai Gray,eng ENG,"MF,FW",Leicester City,21,1996,35,17,"1,697",3,1,0,0,2,0,0.16,0.05,0.21,0.16,0.21,2.1,2.1,3.4,0.11,0.18,0.29,0.11,0.29,/en/players/4468ec10/matchlogs/2017-2018/Demarai-Gray-Match-Logs
185,,Pascal Groß,de GER,"FW,MF",Brighton,26,1991,38,35,"2,928",7,8,1,1,2,0,0.22,0.25,0.46,0.18,0.43,3.2,2.4,6.2,0.10,0.19,0.29,0.07,0.26,/en/players/8aec0537/matchlogs/2017-2018/Pascal-Gross-Match-Logs
186,,Marko Grujić,rs SRB,"DF,MF",Liverpool,21,1996,3,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.16,0.16,0.00,0.16,/en/players/8b8e759d/matchlogs/2017-2018/Marko-Grujic-Match-Logs
187,,İlkay Gündoğan,de GER,MF,Manchester City,26,1990,30,15,"1,517",4,1,1,1,3,0,0.24,0.06,0.30,0.18,0.24,3.8,3.0,1.8,0.22,0.11,0.33,0.18,0.29,/en/players/819b3158/matchlogs/2017-2018/Ilkay-Gundogan-Match-Logs
188,,Florent Hadergjonaj,xk KVX,"DF,MF",Huddersfield,23,1994,23,19,"1,674",0,1,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.6,0.02,0.09,0.11,0.02,0.11,/en/players/9aa186b2/matchlogs/2017-2018/Florent-Hadergjonaj-Match-Logs
